run,N1257,E1257,s1257
1,28.801044825569804,1256.7052232934689,0.5516173830874878
2,17015.740257208094,1256.7621206230187,1.2748310619326955
3,130858.04733533037,1256.8255354508078,1.3259914055796318
4,9.043858029912704,1256.4999787644185,0.2020621036470045
5,154953.0044308767,1256.8246834461931,1.4430099926327153
6,8874.098096089676,1256.81862732706,1.3238719604195732
7,111016.58817010236,1256.8823523068033,1.424768226202973
8,205699.46297438932,1257.022817553291,1.486519977574892
9,423977.7889967415,1256.6574031807413,1.5621366512570338
10,1873.0970015504715,1256.801099204945,1.243235478579337
11,1571.3020196496468,1256.9370687117037,1.5799900720374747
12,6686.517920216949,1257.865649932263,2.1767898752447743
13,30376.6952769721,1256.7830253650852,1.130035707551109
14,27413.238572865266,1257.7645289625386,1.7267014769840658
15,259283.98221299407,1258.159529329788,2.4148113318523436
16,263386.945811841,1258.0280717286519,2.4121437564754107
17,114893.64646904304,1257.6267880700866,1.9812623327183387
18,14480.332632674252,1257.1755686512422,1.3777338823491763
19,41.83350415604283,1256.037381901955,0.2114553971054824
20,325.7887189355499,1258.6422560491528,3.1315864133462687
21,1.298707486599217e6,1257.6001307256554,18.36582776715118
22,21616.600383435532,1256.0482881339842,13.701296117454426
23,739332.4735406054,1262.5695507605906,7.292082770746893
24,12848.093738024709,1256.7441493705953,1.1226057992563632
25,18108.3790621002,1256.7597932604192,1.1751216376886189
26,16148.197329438297,1256.742080560063,1.128267820823624
27,22879.96284689337,1256.8001610155682,1.2180631050633195
28,89476.34834565777,1256.7663417041813,1.3328518568454566
29,65751.41538701845,1256.7764221893256,1.321743675550467
30,90107.54133244298,1256.7644831236992,1.3386456872688064
31,90077.87689680836,1256.792790935178,1.2870704546787937
32,112606.55892299218,1256.8027719781992,1.3075202303367814
33,11.593742664209458,1256.8399917077616,0.20680214271981853
34,135188.78499505686,1256.8718652639334,1.3200936416073636
35,2111.688055317353,1256.8127900516772,1.1846867607736198
36,84036.85475630035,1256.752126918885,1.3098301362735174
39,95227.65227645892,1256.8024178236217,1.292784061167177
40,5980.0223567813855,1256.7729622309887,1.240927024230711
41,159997.52448585612,1256.8656800191716,1.3097866055961171
42,57903.54575592574,1256.7911542354718,1.3073914590176066
43,48669.49718286757,1256.7408325439553,1.2739433028282283
44,55920.81831335652,1256.7562073336646,1.301781819892555
45,55971.47613319846,1256.81401509103,1.3123689635245763
46,43666.22523143279,1256.7102150332983,1.303648870339158
47,51527.28977317557,1256.7735064915619,1.340213080641768
48,36032.16151544499,1256.7698896091135,1.3042485051543395
49,49612.715691282254,1256.8008751376412,1.3714526424522189
50,1589.532439977451,1256.9029238649207,1.164884328133491
51,48699.77077168227,1256.7715924270256,1.3176127081776983
52,52404.05003445187,1256.722840671598,1.3100858741248764
53,35676.82462450994,1256.7664229345637,1.2468226444488637
54,2641.1784537274893,1256.757970643266,1.2885458858144412
55,48649.932194623674,1256.7923483475674,1.2779415679459423
56,46342.573094237596,1256.749876097113,1.304269521649964
57,49340.310414450694,1256.7773625374334,1.3630168750648137
58,46500.89415406274,1256.7899030145702,1.3064940182106535
59,56293.19235816658,1256.730352764194,1.3286528384600078
60,6208.140907385367,1256.7440837688066,1.1395426612419772
61,51695.321864444,1256.7975243475212,1.3347666446394448
62,44242.2698124048,1256.7761397992883,1.3088584265698178
63,52313.88264419578,1256.722095265254,1.2991306336270265
64,46737.48996138202,1256.7730546741295,1.3504687773643864
65,44846.61618692152,1256.78934488504,1.2585051319928984
66,44586.60213114112,1256.80117698366,1.3115427232096466
67,41973.24522782551,1256.7657184884085,1.2600792549779134
68,41944.85366302823,1256.7761031628033,1.2599009923738562
69,54554.4218064785,1256.7903618015857,1.2886347889122043
70,17779.189674640755,1256.7770056363331,1.3494186295957193
71,43432.2118368672,1256.7259741070031,1.2686578860646238
72,4141.393684782893,1256.7666697538564,1.19843978685048
73,49949.65262709821,1256.78772274887,1.334799252702071
74,46510.17812992056,1256.8561650315316,1.3539780463742068
75,44568.197992832174,1256.7658730814805,1.296726797188379
76,51608.35714252925,1256.7947310733118,1.360096176489839
77,79778.99117486797,1256.7862986053262,1.3651571450747528
